,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,knn,rfc,log,gb,sgd,lda,svc,mlp,result
9094,4.0,4.0,6.0,7.0,7.0,10.0,2.0,1.0,0.0,1.0,1,0,2,2,2,2,2,2,1
9095,6.0,3.0,3.0,7.0,8.0,9.0,2.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9096,6.0,9.0,9.0,4.0,13.0,15.0,5.0,1.0,1.0,0.0,2,0,0,0,0,0,0,0,2
9097,2.0,3.0,6.0,4.0,8.0,13.0,3.0,3.0,0.0,0.0,0,0,0,0,0,1,0,0,0
9098,2.0,4.0,6.0,5.0,8.0,4.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9099,3.0,3.0,7.0,3.0,10.0,16.0,1.0,4.0,0.0,0.0,1,0,1,2,0,2,0,0,1
9100,5.0,6.0,6.0,6.0,7.0,8.0,3.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9101,10.0,1.0,5.0,2.0,5.0,13.0,2.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9102,3.0,3.0,5.0,5.0,14.0,10.0,3.0,1.0,0.0,0.0,2,0,1,0,2,1,2,2,2
9103,4.0,6.0,6.0,6.0,5.0,16.0,0.0,2.0,1.0,0.0,2,0,0,0,0,0,0,0,2
9104,2.0,5.0,1.0,6.0,5.0,6.0,0.0,1.0,0.0,0.0,2,0,0,0,2,0,0,0,2
9105,8.0,9.0,5.0,2.0,4.0,8.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9106,5.0,0.0,9.0,0.0,12.0,9.0,1.0,1.0,0.0,1.0,2,0,2,2,2,2,2,2,2
9107,4.0,5.0,8.0,7.0,18.0,13.0,4.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9108,6.0,3.0,4.0,4.0,11.0,7.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9109,3.0,2.0,7.0,9.0,5.0,12.0,2.0,1.0,0.0,1.0,2,0,2,2,2,2,2,2,2
9110,8.0,1.0,4.0,6.0,9.0,17.0,1.0,4.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9111,5.0,12.0,10.0,6.0,14.0,17.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9112,2.0,3.0,7.0,7.0,7.0,6.0,0.0,2.0,0.0,0.0,1,0,1,2,2,2,2,2,1
9113,4.0,4.0,2.0,2.0,11.0,7.0,3.0,2.0,0.0,0.0,0,0,0,0,2,0,2,2,0
9114,2.0,2.0,14.0,5.0,12.0,6.0,1.0,2.0,0.0,0.0,2,0,1,1,1,1,0,0,2
9115,2.0,2.0,9.0,1.0,11.0,14.0,5.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0
9116,3.0,7.0,3.0,4.0,8.0,15.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9117,2.0,3.0,4.0,6.0,12.0,10.0,3.0,3.0,0.0,0.0,2,0,1,0,2,1,2,2,2
9118,10.0,4.0,11.0,2.0,15.0,15.0,2.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9119,8.0,5.0,7.0,5.0,9.0,17.0,1.0,2.0,0.0,1.0,2,0,2,2,2,2,2,2,2
9120,2.0,1.0,6.0,7.0,8.0,11.0,1.0,3.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9121,8.0,0.0,11.0,0.0,9.0,12.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9122,3.0,4.0,9.0,4.0,4.0,10.0,0.0,3.0,0.0,0.0,2,0,0,2,0,2,0,0,2
9123,2.0,2.0,11.0,2.0,5.0,9.0,4.0,3.0,0.0,0.0,1,0,0,1,0,1,0,0,1
9124,1.0,5.0,1.0,3.0,10.0,17.0,3.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9125,2.0,10.0,1.0,8.0,8.0,10.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9126,2.0,4.0,3.0,1.0,6.0,14.0,0.0,1.0,0.0,0.0,1,0,0,2,0,0,0,0,1
9127,2.0,3.0,7.0,12.0,10.0,12.0,4.0,4.0,0.0,0.0,2,0,1,1,1,1,2,2,2
9128,3.0,15.0,2.0,7.0,3.0,12.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0
9129,9.0,5.0,13.0,7.0,10.0,5.0,1.0,1.0,1.0,0.0,2,0,0,0,2,2,1,2,2
9130,4.0,6.0,0.0,5.0,12.0,12.0,2.0,1.0,0.0,0.0,2,0,0,0,2,0,0,2,2
9131,3.0,5.0,5.0,10.0,14.0,8.0,5.0,3.0,0.0,0.0,1,0,1,0,2,0,0,0,1
9132,4.0,4.0,10.0,4.0,7.0,10.0,2.0,2.0,0.0,0.0,1,0,0,2,0,2,0,0,1
9133,5.0,7.0,5.0,6.0,7.0,8.0,3.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9134,2.0,5.0,3.0,6.0,8.0,15.0,2.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,1
9135,6.0,4.0,12.0,5.0,18.0,9.0,2.0,0.0,0.0,0.0,1,0,1,2,2,2,2,2,1
9136,13.0,4.0,8.0,3.0,9.0,11.0,3.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9137,3.0,11.0,1.0,10.0,13.0,10.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9138,6.0,4.0,4.0,10.0,14.0,12.0,4.0,3.0,0.0,0.0,2,0,2,2,2,1,2,2,2
9139,4.0,8.0,8.0,9.0,6.0,15.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9140,2.0,6.0,2.0,10.0,12.0,9.0,1.0,2.0,0.0,0.0,0,0,0,0,2,0,0,0,0
9141,5.0,0.0,8.0,3.0,11.0,8.0,0.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9142,4.0,3.0,17.0,0.0,11.0,10.0,3.0,1.0,0.0,0.0,2,0,0,1,0,1,0,0,2
9143,6.0,0.0,7.0,6.0,8.0,12.0,1.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9144,6.0,9.0,7.0,3.0,10.0,7.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9145,3.0,10.0,1.0,6.0,8.0,5.0,4.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9146,3.0,5.0,5.0,6.0,15.0,16.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9147,3.0,2.0,5.0,2.0,9.0,8.0,1.0,2.0,0.0,1.0,1,0,2,2,2,2,2,2,1
9148,5.0,2.0,10.0,4.0,7.0,13.0,1.0,2.0,0.0,1.0,0,0,2,2,2,2,2,2,0
9149,5.0,1.0,7.0,0.0,9.0,17.0,3.0,2.0,0.0,0.0,2,0,1,2,2,2,2,2,2
