,HomeTeam,AwayTeam,FTHG,FTAG,HS,AST,HC,AC,HF,AF,HY,AY,HR,AR
83,Exeter,Scunthorpe,3,1,10,2,7,7,12,7,0,1,0,0
84,Barrow,Walsall,2,2,5,3,5,7,13,12,3,2,0,0
85,Bradford,Newport County,0,3,5,6,3,6,15,12,0,2,0,0
86,Cambridge,Bolton,1,1,2,2,5,0,13,15,1,1,0,0
87,Cheltenham,Mansfield,0,0,1,2,9,3,8,10,0,3,0,0
88,Colchester,Harrogate,2,1,7,5,2,9,11,8,2,0,0,0
89,Grimsby,Carlisle,1,1,2,1,3,4,16,20,4,1,0,0
90,Morecambe,Forest Green,1,2,4,4,2,6,13,10,4,2,0,0
91,Oldham,Port Vale,1,2,3,5,7,7,11,8,3,1,0,0
92,Salford,Crawley Town,1,1,3,5,3,2,13,18,3,2,0,0
93,Stevenage,Leyton Orient,0,2,7,7,7,6,12,10,2,0,0,0
94,Tranmere,Southend,2,0,4,2,5,8,15,14,1,0,0,0
95,Crawley Town,Tranmere,4,0,6,0,5,4,17,19,0,3,0,0
96,Bolton,Bradford,1,0,3,2,2,6,18,8,2,1,0,0
97,Carlisle,Morecambe,3,1,6,2,4,6,19,14,2,2,0,0
98,Forest Green,Grimsby,1,0,5,3,3,2,12,14,2,2,0,0
99,Harrogate,Stevenage,0,0,3,0,10,4,9,8,2,2,0,0
100,Leyton Orient,Exeter,1,1,1,5,5,4,13,16,3,0,0,0
101,Mansfield,Barrow,2,4,7,10,6,5,13,8,0,3,1,0
102,Newport County,Colchester,2,1,7,4,7,4,6,13,1,2,0,0
103,Port Vale,Cheltenham,2,1,3,3,6,6,6,5,0,0,0,0
104,Southend,Oldham,1,2,2,3,1,5,6,16,0,2,0,0
105,Walsall,Cambridge,0,2,1,5,9,2,14,9,2,1,0,0
106,Exeter,Carlisle,1,0,2,2,3,6,11,9,1,0,0,1
107,Barrow,Bradford,1,0,5,2,3,1,17,19,1,2,0,1
108,Cheltenham,Forest Green,2,1,5,3,4,3,15,7,4,1,0,0
109,Crawley Town,Cambridge,2,1,5,4,5,10,11,7,1,0,1,0
110,Leyton Orient,Bolton,4,0,6,0,4,9,13,13,1,3,0,0
111,Mansfield,Walsall,1,1,3,5,2,0,17,14,2,2,0,0
112,Newport County,Harrogate,2,1,5,1,9,2,9,14,0,2,0,1
113,Salford,Oldham,2,0,8,1,2,3,14,22,2,1,0,0
114,Southend,Port Vale,0,2,2,6,3,6,7,14,1,2,0,0
115,Stevenage,Grimsby,0,0,6,2,9,6,13,17,1,1,0,0
116,Tranmere,Morecambe,0,1,1,2,4,4,13,9,1,0,0,0
117,Oldham,Cheltenham,2,1,8,3,4,2,6,10,1,3,0,0
118,Morecambe,Exeter,2,2,6,6,7,4,10,6,0,1,0,0
119,Bolton,Mansfield,1,1,3,4,4,8,9,19,0,1,0,0
120,Bradford,Southend,3,0,6,3,6,6,2,15,2,3,0,0
121,Cambridge,Salford,2,1,2,4,2,5,11,13,0,2,0,0
122,Carlisle,Newport County,3,2,5,3,8,6,17,9,1,1,0,0
123,Colchester,Stevenage,3,1,6,2,2,4,8,16,1,3,0,0
124,Forest Green,Leyton Orient,2,1,5,1,7,2,17,8,2,1,0,0
125,Grimsby,Barrow,1,0,2,2,2,6,14,13,2,2,0,0
126,Harrogate,Tranmere,0,1,1,2,11,4,16,12,1,1,0,0
127,Walsall,Crawley Town,1,0,4,5,4,10,11,11,2,1,0,0
128,Bolton,Salford,2,0,4,4,3,2,10,11,0,0,0,0
129,Bradford,Exeter,2,2,6,6,6,10,2,11,0,3,0,0
130,Cambridge,Barrow,1,1,4,3,2,7,14,7,3,1,0,0
131,Carlisle,Cheltenham,1,2,3,3,6,4,12,12,0,0,0,0
132,Colchester,Leyton Orient,2,1,6,3,3,6,12,11,1,0,0,0
133,Forest Green,Mansfield,1,2,7,4,9,1,15,16,2,1,0,0
134,Harrogate,Crawley Town,1,1,6,7,7,5,12,8,1,1,0,0
135,Morecambe,Stevenage,1,1,6,2,7,3,13,15,2,2,0,0
136,Oldham,Scunthorpe,0,2,2,7,6,9,8,11,1,1,0,0
137,Port Vale,Tranmere,3,4,4,6,2,5,19,15,2,1,1,0
138,Walsall,Southend,0,1,6,7,6,3,19,14,0,1,1,0
139,Port Vale,Scunthorpe,0,1,2,1,4,0,12,9,0,1,0,0
140,Mansfield,Colchester,1,1,5,3,3,4,9,9,2,0,0,0
141,Crawley Town,Carlisle,0,3,0,12,2,8,20,15,0,1,1,0
142,Barrow,Forest Green,2,2,4,4,6,4,9,14,1,2,0,0
143,Cheltenham,Walsall,3,0,3,1,5,13,14,13,1,4,0,0
144,Exeter,Oldham,1,2,7,8,8,3,12,12,2,2,0,0
145,Leyton Orient,Harrogate,3,0,6,2,6,5,12,13,2,2,0,0
146,Newport County,Port Vale,1,0,6,3,8,4,7,19,2,2,0,1
147,Salford,Bradford,3,0,9,2,5,6,22,14,1,1,0,0
148,Scunthorpe,Morecambe,1,1,2,2,5,10,8,12,1,1,0,0
149,Stevenage,Bolton,1,2,3,7,6,2,16,12,2,3,0,0
150,Tranmere,Grimsby,5,0,6,1,2,5,13,21,1,2,0,0
151,Barrow,Oldham,3,4,7,7,5,4,13,14,3,2,0,0
152,Cheltenham,Cambridge,1,1,4,2,6,2,14,14,2,1,0,0
153,Crawley Town,Grimsby,1,2,5,4,5,1,17,9,2,1,0,0
154,Exeter,Colchester,6,1,9,3,12,3,8,8,0,2,0,0
155,Leyton Orient,Bradford,1,0,1,2,4,4,8,15,0,3,0,0
156,Mansfield,Harrogate,0,1,1,5,3,3,11,20,0,0,0,0
157,Newport County,Walsall,1,1,2,2,4,7,14,18,2,2,0,0
158,Salford,Morecambe,2,1,5,6,2,4,18,10,5,3,0,0
159,Scunthorpe,Bolton,0,1,1,4,4,2,13,9,0,0,0,0
160,Southend,Forest Green,0,1,0,3,4,4,8,16,2,0,0,0
161,Stevenage,Port Vale,2,1,7,3,2,7,14,9,0,2,0,0
162,Tranmere,Carlisle,1,0,3,2,6,8,14,14,2,1,0,0
163,Port Vale,Leyton Orient,2,3,3,4,11,4,11,10,2,1,0,0
164,Bolton,Southend,3,0,4,4,4,4,9,11,2,0,0,0
165,Morecambe,Barrow,1,0,7,2,11,2,10,9,2,0,0,1
166,Bradford,Cheltenham,1,2,3,6,2,4,6,12,0,0,0,0
167,Colchester,Crawley Town,1,1,4,7,5,10,10,7,4,1,0,0
168,Forest Green,Newport County,1,1,5,4,0,2,18,15,2,2,0,0
169,Grimsby,Exeter,1,4,3,9,4,11,13,10,2,1,0,0
170,Harrogate,Scunthorpe,2,5,3,6,2,8,15,13,0,0,0,0
171,Oldham,Tranmere,0,1,2,2,4,6,16,16,3,1,0,0
172,Carlisle,Salford,2,1,7,2,7,3,15,12,4,2,0,0
173,Walsall,Stevenage,1,1,3,1,6,2,9,10,0,3,0,0
174,Cambridge,Mansfield,0,1,4,3,7,5,14,12,0,2,0,0
175,Scunthorpe,Leyton Orient,2,0,4,3,3,8,10,18,0,5,0,0
176,Barrow,Salford,0,1,4,3,5,8,7,13,1,4,0,0
177,Bolton,Port Vale,3,6,7,11,5,5,11,14,0,1,0,0
178,Bradford,Carlisle,0,1,0,9,6,5,13,19,0,2,0,0
179,Cambridge,Oldham,1,2,3,5,0,7,11,15,1,4,0,0
180,Cheltenham,Exeter,5,3,8,4,3,6,10,5,2,1,0,0
