,HomeTeam,AwayTeam,FTHG,FTAG,HS,AST,HC,AC,HF,AF,HY,AY,HR,AR
366,Exeter,Walsall,0,0,3,0,7,2,9,17,1,1,0,0
367,Grimsby,Leyton Orient,0,1,1,2,4,6,13,8,0,0,0,0
368,Oldham,Bolton,0,2,1,3,4,9,8,9,1,1,1,0
369,Salford,Port Vale,1,0,4,0,2,4,13,12,3,2,0,0
370,Stevenage,Forest Green,3,0,5,3,3,12,11,12,2,3,0,0
371,Tranmere,Newport County,1,0,3,2,4,2,18,13,2,0,0,0
372,Exeter,Leyton Orient,4,0,5,3,1,5,12,18,0,4,0,0
373,Barrow,Mansfield,2,0,4,2,0,3,12,18,0,3,0,1
374,Bradford,Bolton,1,1,2,3,4,6,14,13,1,1,0,0
375,Cambridge,Walsall,1,0,2,2,4,3,16,14,0,0,0,0
376,Cheltenham,Port Vale,3,2,5,6,7,6,7,12,0,2,0,0
377,Colchester,Newport County,0,2,2,5,6,4,15,10,2,1,1,0
378,Grimsby,Forest Green,1,2,1,5,2,3,17,14,1,0,0,0
379,Morecambe,Carlisle,3,1,5,3,9,6,15,10,2,1,0,0
380,Oldham,Southend,0,0,1,4,2,3,8,15,0,1,0,0
381,Salford,Scunthorpe,1,1,1,3,6,2,13,12,3,3,0,0
382,Stevenage,Harrogate,1,0,2,3,5,7,15,9,3,0,0,0
383,Tranmere,Crawley Town,0,1,3,4,7,5,9,13,1,1,0,0
384,Bolton,Cambridge,2,1,8,3,8,3,8,13,1,3,0,0
385,Carlisle,Grimsby,1,1,4,2,4,4,14,15,1,1,0,0
386,Crawley Town,Salford,1,0,5,7,1,5,9,15,1,3,0,0
387,Forest Green,Morecambe,2,2,4,4,4,3,8,9,2,2,0,0
388,Harrogate,Colchester,3,0,5,4,1,5,14,11,2,0,0,0
389,Leyton Orient,Stevenage,0,0,0,8,3,5,14,6,2,2,0,0
390,Mansfield,Cheltenham,3,1,7,3,4,2,7,10,0,1,0,0
391,Newport County,Bradford,2,1,3,3,1,8,10,17,1,2,0,0
392,Port Vale,Oldham,0,0,6,2,1,0,15,9,3,2,0,0
393,Scunthorpe,Exeter,0,2,0,4,5,8,13,15,0,0,0,0
394,Southend,Tranmere,0,2,2,4,2,7,10,6,2,0,0,0
395,Walsall,Barrow,0,1,1,4,3,6,13,10,3,1,0,0
396,Leyton Orient,Scunthorpe,1,1,1,3,5,2,16,11,3,1,0,0
397,Carlisle,Bradford,3,1,6,4,5,6,17,14,4,4,0,0
398,Crawley Town,Mansfield,1,0,4,1,4,2,19,12,0,2,0,0
399,Exeter,Cheltenham,0,1,1,2,5,8,4,5,1,0,0,0
400,Forest Green,Harrogate,2,1,2,3,4,7,12,17,2,1,1,0
401,Morecambe,Newport County,1,3,4,6,4,5,15,12,0,0,1,0
402,Oldham,Cambridge,2,4,5,6,6,13,7,15,0,4,0,0
403,Port Vale,Bolton,0,1,4,2,4,3,19,6,2,1,0,0
404,Southend,Stevenage,0,0,2,1,4,4,10,16,3,1,0,0
405,Grimsby,Colchester,0,0,1,1,6,4,9,20,1,1,0,0
406,Cheltenham,Barrow,0,2,5,4,9,5,5,7,0,2,0,0
407,Crawley Town,Walsall,1,1,5,2,3,4,19,17,3,2,0,0
408,Port Vale,Newport County,2,1,3,1,2,4,10,11,1,0,0,0
409,Salford,Colchester,0,0,2,2,3,4,16,11,2,1,0,0
410,Scunthorpe,Oldham,1,1,9,2,10,3,13,9,2,2,0,0
411,Mansfield,Carlisle,1,1,5,3,4,4,10,11,0,2,0,0
412,Grimsby,Tranmere,0,0,3,1,3,7,16,17,2,2,0,0
413,Newport County,Leyton Orient,0,1,1,2,7,3,14,11,2,4,0,0
414,Stevenage,Carlisle,3,1,6,1,11,3,12,10,1,2,0,1
415,Barrow,Crawley Town,3,2,8,2,3,3,15,14,1,0,0,0
416,Bolton,Walsall,2,1,3,2,7,3,17,14,0,2,0,1
417,Bradford,Oldham,0,0,5,6,3,7,11,5,2,0,0,0
418,Cambridge,Forest Green,1,0,6,2,5,2,11,19,1,2,0,0
419,Cheltenham,Salford,2,0,5,0,4,3,14,9,2,0,0,0
420,Colchester,Port Vale,0,1,1,4,8,3,8,14,2,4,0,0
421,Harrogate,Morecambe,0,1,0,2,9,3,10,12,1,3,0,1
422,Mansfield,Grimsby,2,2,2,2,4,4,19,20,3,2,0,0
423,Scunthorpe,Southend,1,1,1,2,2,1,8,15,1,2,1,0
424,Tranmere,Exeter,2,1,2,2,2,6,18,14,1,0,0,0
425,Mansfield,Forest Green,0,0,6,3,7,4,15,10,3,1,0,0
426,Carlisle,Leyton Orient,0,1,2,3,8,4,15,11,0,0,0,0
427,Barrow,Grimsby,0,1,1,1,7,2,10,14,0,1,0,0
428,Colchester,Tranmere,2,2,3,4,3,4,10,11,2,1,0,0
429,Oldham,Exeter,2,1,3,6,4,5,7,10,1,1,0,0
430,Scunthorpe,Bradford,2,0,8,3,3,2,13,12,0,3,0,0
431,Southend,Walsall,0,0,6,1,5,2,12,19,2,5,1,0
432,Forest Green,Bolton,0,1,2,2,6,1,16,16,1,0,0,0
433,Exeter,Salford,1,0,1,3,1,5,23,15,3,2,0,0
434,Carlisle,Cambridge,1,2,7,3,3,7,18,10,3,0,0,0
435,Colchester,Bradford,1,2,2,4,0,1,15,11,1,1,0,0
436,Crawley Town,Port Vale,1,3,3,5,7,5,7,15,1,1,0,0
437,Grimsby,Walsall,1,1,4,3,2,3,17,10,1,1,0,0
438,Harrogate,Southend,0,1,5,5,1,4,9,5,1,4,0,0
439,Leyton Orient,Oldham,2,1,6,1,5,3,9,11,1,3,0,0
440,Morecambe,Cheltenham,1,0,1,6,3,5,6,7,0,0,0,0
441,Stevenage,Barrow,2,1,5,2,6,1,9,13,0,3,0,0
442,Tranmere,Mansfield,1,1,3,3,3,2,15,13,2,1,0,0
443,Carlisle,Crawley Town,2,0,10,0,2,4,14,12,1,2,0,0
444,Bolton,Colchester,0,0,7,0,5,9,6,11,0,0,0,0
445,Scunthorpe,Crawley Town,0,0,0,3,7,5,14,11,1,2,0,0
446,Barrow,Newport County,2,1,4,4,1,8,13,14,0,1,0,1
447,Bradford,Forest Green,4,1,5,2,3,8,14,10,3,0,0,0
448,Cambridge,Morecambe,2,1,6,5,4,6,16,10,4,2,0,1
449,Cheltenham,Tranmere,4,0,6,3,3,0,12,10,2,1,0,0
450,Mansfield,Leyton Orient,0,2,2,3,12,2,13,9,1,1,0,0
451,Oldham,Stevenage,0,1,1,7,2,5,14,9,2,1,0,0
452,Port Vale,Exeter,1,0,5,2,8,6,12,11,0,0,0,0
453,Salford,Grimsby,1,1,2,5,4,2,15,17,2,3,0,0
454,Walsall,Harrogate,0,0,6,4,5,5,8,13,1,0,0,0
455,Southend,Carlisle,0,2,1,4,5,5,8,11,1,1,0,0
456,Colchester,Barrow,1,1,3,4,5,2,11,14,0,1,0,0
457,Crawley Town,Oldham,1,4,5,14,4,8,10,8,2,0,0,0
458,Exeter,Mansfield,0,0,1,2,2,7,17,12,4,2,0,0
459,Forest Green,Salford,0,2,3,4,6,2,9,11,1,2,0,0
460,Grimsby,Cheltenham,1,1,3,6,7,8,11,8,0,0,0,0
461,Harrogate,Port Vale,0,2,6,4,5,4,11,20,1,1,0,0
462,Leyton Orient,Walsall,0,0,0,1,3,5,15,11,2,1,0,0
463,Newport County,Bolton,1,0,5,2,8,7,13,9,2,0,0,0
464,Stevenage,Bradford,1,1,3,2,10,3,17,19,1,2,0,0
465,Tranmere,Cambridge,1,1,3,5,7,2,12,9,2,0,0,0
466,Carlisle,Scunthorpe,2,0,3,2,10,4,11,7,0,1,0,0
467,Morecambe,Southend,1,1,2,3,8,3,15,12,0,1,0,0
468,Mansfield,Newport County,1,1,4,3,5,1,13,15,1,2,0,0
469,Oldham,Colchester,5,2,11,3,11,4,9,14,4,2,0,0
470,Barrow,Carlisle,2,2,3,5,3,1,11,12,2,3,0,0
471,Bolton,Harrogate,2,1,4,4,3,3,12,16,1,2,0,0
472,Bradford,Grimsby,1,0,3,2,5,5,12,11,2,3,0,1
473,Cambridge,Exeter,1,4,2,9,1,4,14,10,4,1,0,0
474,Cheltenham,Leyton Orient,1,0,2,1,5,2,7,9,1,2,0,0
475,Port Vale,Morecambe,1,0,2,1,5,8,17,11,3,1,0,0
476,Salford,Stevenage,2,1,4,2,4,4,16,9,1,1,0,0
477,Scunthorpe,Tranmere,0,0,3,3,2,12,8,8,2,1,0,0
478,Southend,Crawley Town,0,0,1,2,4,9,14,13,3,0,0,0
479,Walsall,Forest Green,2,1,2,3,4,7,15,15,3,2,0,0
480,Morecambe,Scunthorpe,4,1,5,6,2,8,11,11,1,1,0,0
481,Barrow,Exeter,2,1,2,5,2,5,17,10,3,1,0,0
482,Bradford,Crawley Town,0,2,5,4,6,3,14,9,2,1,0,0
483,Harrogate,Leyton Orient,2,2,10,4,3,4,14,11,1,2,0,0
484,Newport County,Carlisle,0,0,3,4,0,2,14,18,1,2,0,0
485,Salford,Bolton,0,1,2,4,2,4,9,12,3,3,0,0
486,Walsall,Tranmere,1,0,4,1,3,4,8,20,0,2,0,1
487,Crawley Town,Cheltenham,1,0,3,1,1,6,8,12,1,1,0,0
488,Carlisle,Port Vale,0,0,2,1,6,8,9,8,1,1,0,0
489,Exeter,Southend,0,0,4,2,12,7,11,8,2,1,0,0
490,Forest Green,Scunthorpe,3,2,8,2,19,1,9,10,2,3,0,0
491,Grimsby,Bolton,2,1,13,5,5,8,13,8,3,1,0,0
492,Harrogate,Bradford,2,1,4,8,1,5,18,15,0,2,0,0
493,Leyton Orient,Barrow,2,0,3,1,3,8,11,13,0,1,0,0
494,Morecambe,Oldham,4,3,6,5,7,10,9,5,0,0,0,0
495,Newport County,Cambridge,0,1,5,4,7,5,13,13,3,1,0,0
496,Stevenage,Mansfield,0,1,3,3,2,2,10,17,1,2,0,0
497,Tranmere,Salford,0,0,3,2,4,6,18,11,2,2,0,0
498,Colchester,Walsall,2,1,7,1,5,3,15,10,3,1,0,0
499,Barrow,Port Vale,0,2,2,5,8,2,14,13,3,3,0,0
500,Bolton,Carlisle,1,0,2,1,3,13,9,14,1,1,0,0
501,Bradford,Tranmere,0,1,0,0,5,3,14,16,1,3,0,0
502,Colchester,Southend,2,0,4,0,8,4,15,19,1,3,0,1
503,Forest Green,Exeter,0,0,4,1,4,4,12,4,1,0,0,0
504,Grimsby,Morecambe,0,3,2,5,5,5,15,7,1,0,0,0
505,Harrogate,Oldham,0,3,4,8,5,4,17,12,0,0,0,0
506,Leyton Orient,Cambridge,2,4,3,7,5,7,14,12,4,0,0,0
507,Mansfield,Scunthorpe,3,0,7,0,7,6,15,15,2,1,0,0
508,Newport County,Crawley Town,2,0,6,1,9,1,10,10,2,2,0,1
509,Stevenage,Cheltenham,0,1,1,4,4,2,9,8,0,0,0,0
510,Walsall,Salford,0,2,2,4,1,5,8,12,0,2,0,0
511,Cambridge,Stevenage,0,1,2,5,3,6,15,21,1,0,0,0
512,Carlisle,Harrogate,1,1,1,4,4,4,16,13,2,0,0,0
513,Cheltenham,Colchester,1,0,11,1,6,0,14,6,2,2,0,0
514,Crawley Town,Forest Green,0,0,3,3,0,11,17,6,2,1,0,0
515,Exeter,Newport County,0,0,0,4,4,8,12,8,1,2,0,0
516,Morecambe,Bolton,0,1,3,3,5,10,9,10,1,1,1,0
517,Oldham,Grimsby,1,2,3,3,11,4,12,10,1,3,0,0
518,Port Vale,Bradford,2,1,5,4,2,1,15,11,0,0,0,0
519,Salford,Mansfield,2,0,4,5,2,4,14,7,1,1,1,0
520,Scunthorpe,Walsall,0,2,0,5,2,6,14,10,1,1,0,0
521,Southend,Leyton Orient,2,1,7,4,6,5,19,7,3,0,0,0
522,Tranmere,Barrow,1,0,3,2,9,4,7,14,1,3,0,0
523,Newport County,Scunthorpe,4,0,4,3,5,2,5,11,1,2,0,0
524,Bradford,Salford,0,1,2,4,5,8,17,12,3,0,0,0
525,Cheltenham,Carlisle,1,1,2,2,2,7,13,13,0,3,0,0
526,Exeter,Grimsby,3,2,4,6,7,4,15,16,1,1,0,1
527,Forest Green,Barrow,0,2,3,5,7,5,10,11,4,1,0,0
528,Harrogate,Cambridge,5,4,9,11,3,4,14,12,2,1,0,0
529,Barrow,Southend,1,2,3,2,2,4,18,9,5,2,0,0
530,Bolton,Exeter,1,2,2,5,7,3,13,12,2,5,0,0
531,Bradford,Scunthorpe,0,0,2,4,4,7,12,10,0,0,0,0
532,Colchester,Salford,1,0,2,0,4,2,10,15,1,3,0,2
533,Forest Green,Tranmere,2,1,2,2,2,9,11,7,1,0,1,0
534,Grimsby,Port Vale,1,0,3,6,4,6,11,17,1,1,0,1
535,Leyton Orient,Carlisle,2,3,4,7,4,3,14,14,3,2,0,0
536,Mansfield,Oldham,4,1,9,3,8,2,13,11,0,1,0,0
537,Newport County,Cheltenham,1,0,6,2,2,4,8,7,1,3,0,0
538,Stevenage,Crawley Town,3,3,6,2,5,6,15,18,1,1,0,0
539,Walsall,Morecambe,0,2,0,4,8,3,10,12,0,1,0,0
540,Cambridge,Grimsby,3,0,4,2,2,4,15,15,0,0,0,0
541,Carlisle,Walsall,0,0,4,3,1,2,15,15,0,0,0,0
542,Cheltenham,Harrogate,4,1,10,3,7,6,9,11,0,0,0,0
543,Crawley Town,Bolton,1,4,1,11,3,3,13,9,3,0,1,0
544,Exeter,Barrow,1,1,6,4,7,11,8,14,1,2,0,0
545,Morecambe,Bradford,2,0,3,2,1,5,11,9,2,1,0,0
546,Oldham,Forest Green,0,3,1,3,6,7,10,8,2,0,0,0
547,Port Vale,Mansfield,0,3,2,9,3,9,18,11,1,2,0,0
548,Scunthorpe,Stevenage,0,1,2,2,2,5,11,16,0,4,0,0
549,Southend,Newport County,1,1,6,3,11,3,6,9,2,0,0,0
550,Tranmere,Colchester,0,0,1,3,7,5,14,13,1,1,0,0
551,Salford,Leyton Orient,3,0,7,3,14,2,7,8,1,2,0,0
